typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20220101","2022","52","2022","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H6","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","393","false","5","u","393","false","17.16","false","0","false","4527.809",,"4527.809","0","false","true",
"C","A","20220101","2022","52","2022","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H6","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","267.18","false","267.18","false","0","false","108037.278",,"108037.278","0","false","true",
"C","A","20220101","2022","52","2022","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H6","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","47.1","false","47.1","false","0","false",,"8811.557","8811.557","0","false","true",
"C","A","20220101","2022","52","2022","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H5","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","133462.968","false","129562.597","true","0","false","2852935.747","2737497.621","2852935.747","4","false","true",
"C","A","20220101","2022","52","2022","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H5","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","100.955","false","100.955","false","0","false",,"6878.593","6878.593","0","false","true",
"C","A","20220101","2022","52","2022","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","18506","false","5","u","18506","false","2709.74","false","0","false","36059.456",,"36059.456","0","false","true",
"C","A","20220101","2022","52","2022","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","5","u","4","false","0.89","false","0","false",,"43.478","43.478","0","false","true",
"C","A","20220101","2022","52","2022","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","501697","false","5","u","501697","false","21247.721","false","0","false","9309782.22",,"9309782.22","0","false","true",
"C","A","20220101","2022","52","2022","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","9101","false","5","u","9101","false","167.786","false","0","false",,"311811.67","311811.67","0","false","true",
"C","A","20220101","2022","52","2022","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H5","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3944493.04","false","5","u","3944493.04","false","104563.797","false","0","false","24535597.15","23829052.09","24535597.15","0","false","true",
"C","A","20220101","2022","52","2022","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1429","false","5","u","1429","false","588.96","false","0","false",,"195383.2","195383.2","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","20172743","false","5","u","20172743","false","454824.061","true","0","false","316262514.36","310207178.502","316262514.36","4","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","852351","Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1853347.05","false","5","u","1853347.05","false",,"false","52835.58","false",,"28393835.822","28393835.822","0","false","true",
